rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Gonzaga,WCC,26-3,121.51198166468743,3,88.51959225561674,5,0.9744957009780789,1,26,3,13,1,13-1,0.5845582988371479,0.49203911632557384,0.626109720911742,0.5845582988371479,0.49203911632557384,0.626109720911742,0.7474754436682859,0.7790092667387815,104.53961205840002,99.70007864350222,104.53961205840002,99.70007864350222,120.82298045768826,88.02969999012069,137.75902107682467,97.00507139305849,0.9825967315654308,13,-0.007229573153408775,1271.0,942.0,1063.55,1.195054299280711,0.8857129425038786,0,0.9285714285714286,6.952803120203046,8,191,72.70010732628978
2,Houston,Amer,28-5,116.94322609166784,10,89.68985389957275,8,0.9548388580643603,2,28.718597497307332,5.281402502692667,15,3,15-3,0.6358671673830969,0.5602875370501881,0.678575667703357,0.6434074361917123,0.5602875370501881,0.678575667703357,0.7741697559895112,0.8210809483190135,104.69592956375803,98.9639511695144,104.8979318331311,98.78359754860297,116.48467653320334,91.33725318990747,113.45753481548137,99.71677725902552,0.8152647016366023,7,-0.03489531622221442,1320.0,1099.0,1188.0375,1.1110760392664374,0.9250549751165262,0,0.8333333333333334,5.669613245362197,14,249,64.08374622958308
3,Kansas,B12,28-6,119.85745478838948,5,93.29163697384848,25,0.9469286221099318,3,28,6,14,4,14-4,0.7685318123044661,0.6293640714453115,0.8544958475950762,0.7685318123044661,0.6293640714453115,0.8544958475950762,0.6527997499045974,0.7933019508828667,107.39144409064224,94.93438070539978,107.39144409064224,94.93438070539978,119.35464437341062,94.04525171425553,122.33249664095698,95.43184999675584,0.9456176627627266,19,0.054512979290144536,1352.0,1244.0,1254.3000000000002,1.0778920513433785,0.9917882484254165,0,0.7777777777777778,10.051267984356453,1,63,69.03651113633764
4,Baylor,B12,26-6,117.1258857525275,9,91.8814166299157,18,0.9422218908768377,4,26,6,14,4,14-4,0.714038985045428,0.5079125727452071,0.8550348107494277,0.714038985045428,0.5079125727452071,0.8550348107494277,0.6617775978441599,0.8024771608523202,106.50298085474927,96.7800393918317,106.50298085474927,96.7800393918317,117.5500641202715,92.48445008261152,121.15387094905499,94.8680053734251,0.9433535191926056,17,0.05276505170997847,1298.0,1195.0,1220.6375,1.063378767242527,0.9789966308588749,0,0.7777777777777778,8.567530943731873,3,66,67.4685420610414
5,Texas Tech,B12,25-9,108.86248100946857,62,85.55409388672356,1,0.9410757431986249,5,25,9,12,6,12-6,0.680307423272107,0.39366535980118456,0.8551659644505354,0.680307423272107,0.39366535980118456,0.8551659644505354,0.6605312427156481,0.8245247358050302,106.41939134892041,97.41251545927355,106.41939134892041,97.41251545927355,109.36161407380087,87.09066931923331,111.1943880792132,90.9287210964902,0.9100172839745871,17,-0.013593285717329096,1231.0,1133.0,1221.2625,1.0079733063121155,0.9277284777023777,0,0.6666666666666666,6.133002070302986,12,207,66.2848749378042
6,Arizona,P12,31-3,118.63566445395242,7,93.3827206090869,26,0.9400563315967213,6,31,3,18,2,18-2,0.6410222030262029,0.5183757871397706,0.6887010317750207,0.6410222030262029,0.5183757871397706,0.6887010317750207,0.7488865852566596,0.7801415147198987,105.50109559483388,99.10666491825096,105.50109559483388,99.10666491825096,117.71791936784834,92.97762902453253,118.7741855126628,89.30297394815705,0.9637249915417286,8,0.0901505809681592,1641.0,1365.0,1442.1750000000002,1.1378646835508865,0.9464870768110665,0,0.9,9.00814100660086,2,22,72.24171914036751
7,Kentucky,SEC,26-7,119.42487926078093,6,94.41863625117966,37,0.9371395127764163,7,26,7,14,4,14-4,0.6731974638079755,0.4780827660068835,0.7929052767270848,0.6731974638079755,0.4780827660068835,0.7929052767270848,0.6839921042193178,0.7982366771077865,106.390237920683,97.5638482347839,106.390237920683,97.5638482347839,120.33611976856913,95.33800934917113,124.36561356136912,96.99603202540014,0.9457507562162235,16,0.02949765807580884,1395.0,1246.0,1248.8874999999998,1.1169941247710464,0.9976879422686192,0,0.7777777777777778,6.8035212479659375,9,111,67.59684942720968
8,Tennessee,SEC,25-7,110.82677832248159,36,87.87719051362936,3,0.9351314211149206,8,25.72776831800431,7.272231681995692,14,4,14-4,0.7232550381318886,0.5907564659329424,0.7953447385210693,0.7269007868302264,0.5907564659329424,0.7953447385210693,0.6609897020383151,0.719410944471663,107.8999822281853,96.92798045681482,107.94774782828867,96.85608534553953,110.7361832807238,89.51847186739624,113.36602510249277,91.5010749143734,0.921587673830909,16,0.04051554756834441,1296.0,1196.0,1258.3125,1.029950827000447,0.9504793125714002,0,0.7777777777777778,7.548394824981051,5,87,67.28102060763284
9,Duke,ACC,28-6,120.07933692731731,4,95.23216022802393,42,0.9349965245816775,9,28,6,16,4,16-4,0.6520406597646665,0.4609934136473233,0.7298931969692594,0.6520406597646665,0.4609934136473233,0.7298931969692594,0.7399134749471533,0.7938175786823287,107.3877886455506,100.07460097135477,107.3877886455506,100.07460097135477,120.1450147058002,94.27555222032262,126.01625746933802,91.85409535001426,0.9743295626286419,10,0.01802787791953664,1544.0,1338.0,1336.7749999999999,1.1550186082175387,1.000916384582297,0,0.8,6.443163701040527,11,136,67.62331363668055
10,UCLA,P12,25-7,115.5648946282879,15,91.73808024181486,16,0.9343362080111163,10,25,7,15,5,15-5,0.6812377555822533,0.5828237068680382,0.6992345234909064,0.6812377555822533,0.5828237068680382,0.6992345234909064,0.7232505070644842,0.7383187366280551,106.92408032725393,98.32951888931063,106.92408032725393,98.32951888931063,113.81445415948859,90.8820080775349,122.87979931402633,100.27655608369304,0.9119482973504824,9,-0.009018328800653008,1471.0,1259.0,1346.85,1.092178045068122,0.9347737312989569,0,0.75,5.406653909690431,15,199,65.69387391539946
